name,address,city,state,zip,country
"Memorial Hall, University of North Carolina",100 Porthole Alley,Chapel Hill,NC,,USA
The Orpheum,203 S. Main St,Memphis,TN,,USA
The Kennedy Center,2700 F St,Washington,DC,,USA
Chrysler Hall,215 Saint Pauls Blvd,Norfolk,VA,,USA
Zellerbach Hall,101 Zellerbach Hall #4800,Berkley,CA,,USA
Dubai Opera,Sheikh Mohammed bin Rashid Blvd,,,,Dubai
